date,hs300,sp500,cgb10y,gold,policy_bond,credit_bond,cash
2016-01-29,,,,,,,
2016-02-29,,,,,,,
2016-03-31,,,,,,,
2016-04-29,,,,,,,
2016-05-31,,,,,,,
2016-06-30,,,,,,,
2016-07-29,,,,,,,
2016-08-31,,,,,,,
2016-09-30,,,,,,,
2016-10-31,,,,,,,
2016-11-30,,,,,,,
2016-12-30,,,,,,,
2017-01-26,0.11086216215023557,0.09656356693184387,0.38,0.17913397808349488,0.18344029283442567,0.0,0.050000000000000044
2017-02-28,0.11606264887424199,0.09439250071754815,0.38,0.1672285446663599,0.19231630574184994,0.0,0.050000000000000044
2017-03-31,0.13763389865679865,0.08617941818730461,0.38,0.16528788827450422,0.1808987948813924,0.0,0.050000000000000044
2017-04-28,0.14052570835247302,0.08509103037203213,0.38,0.16662011653880313,0.17776314473669164,0.0,0.050000000000000044
2017-05-31,0.14159098398783837,0.08313681596706991,0.38,0.16707472732211096,0.17819747272298064,0.0,0.050000000000000044
2017-06-30,0.14585557166909963,0.08276753968395537,0.38,0.17316640821778229,0.16821048042916262,0.0,0.050000000000000044
2017-07-31,0.14034088282016116,0.08046203332152443,0.38,0.18619504170235804,0.16300204215595634,0.0,0.050000000000000044
2017-08-31,0.1403212435817023,0.07982127504885322,0.38,0.18565946868218874,0.16419801268725567,0.0,0.050000000000000044
2017-09-29,0.1442799246578491,0.07992478221649445,0.38,0.18278331279691185,0.16301198032874456,0.0,0.050000000000000044
2017-10-31,0.14824715268681204,0.08240353250767722,0.38,0.19770513298099382,0.14164418182451674,0.0,0.050000000000000155
2017-11-30,0.13155523798573265,0.07822722839140893,0.38,0.20507857120354175,0.15513896241931663,0.0,0.050000000000000044
2017-12-29,0.12436549191622517,0.07141312782574155,0.36541113744152576,0.18782771282880495,0.20098252998770255,0.0,0.050000000000000044
2018-01-31,0.11096412674184851,0.09546930112281374,0.3468463821784921,0.17959663134049664,0.21712355861634897,0.0,0.050000000000000044
2018-02-28,0.08684031715630473,0.07504756867466852,0.3386365781975282,0.18118256036552616,0.26829297560597243,0.0,0.050000000000000044
2018-03-30,0.20638501468668302,0.2028252091110786,0.13873657819752816,0.033005651171129025,0.18260248053156766,0.0,0.23644506630201356
2018-04-27,0.21102749425136427,0.19203207476520234,0.11671775358645804,0.08428730822357747,0.08003508697631115,0.0,0.31590028219708677
2018-05-31,0.19829803946822605,0.19429840507663457,0.01852457365449592,0.01479957983150787,0.0658248662481092,0.0,0.5082545357210264
2018-06-29,0.18937749083247707,0.18747531992691863,0.01984947612821639,0.0182830817052745,0.05698468136004274,0.0,0.5280299500470707
2018-07-31,0.1819923650408233,0.1811030750357061,0.015648056798114453,0.014375720140921568,0.06347886286252517,0.0,0.5434019201219094
2018-08-31,0.17393206306012068,0.17624986901355644,0.07188357656438471,0.016081984072838066,0.0652234626251086,0.0,0.4966290446639915
2018-09-28,0.16599473001291726,0.17631925327451764,0.07308068640747924,0.011720052554288426,0.0679331251144875,0.0,0.5049521526363099
2018-10-31,0.14128016731087958,0.16556098198664243,0.10620574487770564,0.08631765676082477,0.10163571044583303,0.0,0.39899973861811455
2018-11-30,0.137277484933802,0.16244297169792657,0.02126731154910322,0.11038048400892167,0.1868581414358991,0.0,0.38177360637434743
2018-12-28,0.13824419591202758,0.15056694225417114,0.012145113857446314,0.01829290052772195,0.2057870148262542,0.0,0.47496383262237885
2019-01-31,0.06161506121801402,0.06453043118136993,0.21204511385744634,0.20846957692725213,0.29230583323530507,0.0,0.1610339835806125
2019-02-28,0.13733631271641045,0.14914210771728767,0.013833361160857732,0.024032582549390002,0.2227263313476206,0.0,0.4529293045084335
2019-03-29,0.13273429133938772,0.16828887919848387,0.16489516311223354,0.12903822881259278,0.22395167413268674,0.0,0.1810917634046154
2019-04-30,0.13287691829628975,0.17519893431784828,0.02422659345940531,0.23099570244715953,0.36265980323376923,0.0,0.07404204824552785
2019-05-31,0.12992342000240106,0.1741468072728864,0.03047589966762238,0.15713358099807836,0.3157268733866041,0.0,0.19259341867240776
2019-06-28,0.12788431816818865,0.1720553444946346,0.026467779555654034,0.13845574880092532,0.30990879401293514,0.0,0.2252280149676622
2019-07-31,0.12928572376512243,0.1680916380358659,0.02073920833476664,0.01929811308812779,0.2169711159742528,0.0,0.4456142008018644
2019-08-30,0.13448694203721415,0.1728462944673585,0.027090851705403388,0.1014591887244495,0.29058885128961703,0.0,0.2735278717759575
2019-09-30,0.13562060653282057,0.1727537211548242,0.02943095813897264,0.0950192744776033,0.28854970686948045,0.0,0.2786257328262989
2019-10-31,0.14827718299738316,0.18220008708646213,0.02886113476240921,0.09013464565949852,0.28607243278477396,0.0,0.26445451670947295
2019-11-29,0.07723989969665165,0.07828589405151179,0.22876113476240922,0.11848686173706333,0.32598734451477307,0.0,0.1712388652375909
2019-12-31,0.07556941143775212,0.07595994309690705,0.38,0.10517037288438405,0.31330027258095666,0.0,0.050000000000000266
2020-01-23,0.07196831014799618,0.08059130449879,0.38,0.09965725903053888,0.31778312632267486,0.0,0.050000000000000044
2020-02-28,0.19658117671162334,0.11658618345298587,0.18179390995451927,0.03609334624566962,0.11788312632267484,0.0,0.35106225731252705
2020-03-31,0.14697833495541554,0.14106556990409902,0.32959967292799575,0.005942171768311463,0.2241248981591741,0.0,0.15228935228500406
2020-04-30,0.14447712857563758,0.12929667912749387,0.19303619896489232,0.00381341659309879,0.024224898159174085,0.0,0.5051516785797033
2020-05-29,0.1562606908435138,0.12792319904359606,0.19533091458873408,0.0038145546910763107,0.010265113378488018,0.0,0.5064055274545918
2020-06-30,0.1553063782079769,0.12464856672003603,0.19366716947322798,0.003591270003086406,0.010459889841477589,0.0,0.512326725754195
2020-07-31,0.14555894988039786,0.1285292857803144,0.2779326607775587,0.0037184817633911437,0.14590646142090904,0.0,0.2983541603774289
2020-08-31,0.14276932139177972,0.12947504158412262,0.28089037740801576,0.0030534541777600343,0.14603774895836125,0.0,0.29777405647996047
2020-09-30,0.14020321502707256,0.1177251696315505,0.29219782717713705,0.002744621528455647,0.17762373457862687,0.0,0.26950543205715727
2020-10-30,0.1312408090634616,0.11340547487235145,0.11517338633394567,0.001195721212161498,0.04888792222262148,0.0,0.5900966862954583
2020-11-30,0.1368803019055203,0.11143883520954098,0.1961601221727464,0.003100341010194606,0.12213182264662838,0.0,0.43028857705536927
2020-12-31,0.13647595966958628,0.11320186408481556,0.24825320279554972,0.003109693736880385,0.12329660039514966,0.0,0.37566267931801833
