date,hs300,sp500,cgb10y,gold,policy_bond,credit_bond,cash
2016-01-29,,,,,,,
2016-02-29,,,,,,,
2016-03-31,,,,,,,
2016-04-29,,,,,,,
2016-05-31,,,,,,,
2016-06-30,,,,,,,
2016-07-29,,,,,,,
2016-08-31,,,,,,,
2016-09-30,,,,,,,
2016-10-31,,,,,,,
2016-11-30,,,,,,,
2016-12-30,,,,,,,
2017-01-26,0.06583669690363536,0.060164902843954454,0.44705122631912364,0.10088368701124084,0.3260634869220456,0.0,0.0
2017-02-28,0.06828843416134904,0.06119163356486315,0.44459612392399356,0.10253823504057595,0.32338557330921813,0.0,2.220446049250313e-16
2017-03-31,0.07446289978804747,0.060665107174042596,0.4413449588324482,0.10389789947500847,0.3196291347304532,0.0,1.1102230246251565e-16
2017-04-28,0.07998324336799181,0.060481227873767175,0.4355430450102956,0.10604607456080768,0.31794640918713757,0.0,1.1102230246251565e-16
2017-05-31,0.08457155751147236,0.06032054069000622,0.4275236790832266,0.1081543995860903,0.31942982312920437,0.0,2.220446049250313e-16
2017-06-30,0.0895252070305381,0.06069936440258436,0.4195997496028436,0.11207459793601723,0.31810108102801654,0.0,2.220446049250313e-16
2017-07-31,0.09247884115416857,0.06082329595622081,0.41233715268597626,0.11858323080420718,0.315777479399427,0.0,2.220446049250313e-16
2017-08-31,0.09541587452840992,0.06111128895608475,0.40542247521152686,0.12359789177843265,0.3144524695255457,0.0,2.220446049250313e-16
2017-09-29,0.09886389050806277,0.06164780883370939,0.3994817452102688,0.1271178562100746,0.3128886992378843,0.0,2.220446049250313e-16
2017-10-31,0.1017656434763652,0.06253199803586236,0.39458542700789107,0.13044622663577843,0.3106707048441028,0.0,2.220446049250313e-16
2017-11-30,0.10273184185648832,0.06338108060908684,0.3862201309401546,0.1391892647608145,0.30847768183345553,0.0,2.220446049250313e-16
2017-12-29,0.10271196542073179,0.0625090166207615,0.36916059155839703,0.1419675492374859,0.3236508771626236,0.0,2.220446049250313e-16
2018-01-31,0.09923566949271907,0.06788320675950253,0.3533135536704267,0.14135884842147656,0.33820872165587496,0.0,2.220446049250313e-16
2018-02-28,0.09229260120438101,0.0670397611435824,0.3389072120905313,0.13878457349846576,0.36297585206303934,0.0,2.220446049250313e-16
2018-03-30,0.08687109250329303,0.06791769442503609,0.3256541241943636,0.13894711421437142,0.38060997466293567,0.0,1.1102230246251565e-16
2018-04-27,0.08439344697336312,0.06969728300152112,0.3237274859177564,0.1434833335869026,0.3786984505204566,0.0,2.220446049250313e-16
2018-05-31,0.08201055724188822,0.06951617150149766,0.32093747582609233,0.14567356303232637,0.3818622323981952,0.0,2.220446049250313e-16
2018-06-29,0.0791382910524766,0.0690593998730508,0.3154591513282627,0.14794943884901013,0.3883937188971996,0.0,2.220446049250313e-16
2018-07-31,0.07703764899215493,0.06793835161104425,0.31015273595669557,0.15064768868292247,0.3942235747571826,0.0,2.220446049250313e-16
2018-08-31,0.07544686720750862,0.06622874454884699,0.30459234085356707,0.15427622476269237,0.39945582262738477,0.0,2.220446049250313e-16
2018-09-28,0.0730623347659352,0.06546239244649443,0.30218064351121493,0.15830761693924258,0.4009870123371127,0.0,2.220446049250313e-16
2018-10-31,0.06910591947052758,0.0645244822496214,0.3004129039600447,0.16255335622117134,0.4034033380986348,0.0,2.220446049250313e-16
2018-11-30,0.06582313945606272,0.06340546114417812,0.29936677366885667,0.1657337670710624,0.40567085865983993,0.0,2.220446049250313e-16
2018-12-28,0.06346247410746932,0.062089125753345714,0.2978492995341077,0.16943452448131682,0.40716457612376034,0.0,1.1102230246251565e-16
2019-01-31,0.061482804287764474,0.06082332203146746,0.30345941539830723,0.17303216270725402,0.4012022955752067,0.0,1.1102230246251565e-16
2019-02-28,0.05973112016284027,0.0604951283346476,0.3081051553364622,0.17578599074731216,0.39588260541873765,0.0,1.1102230246251565e-16
2019-03-29,0.05853988692993238,0.0611004767932158,0.31433722056157354,0.17703345085544048,0.3889889648598377,0.0,1.1102230246251565e-16
2019-04-30,0.05646632714466503,0.06053499107869799,0.3090794611202884,0.17559043095139804,0.39832878970495045,0.0,1.1102230246251565e-16
2019-05-31,0.05456804929292651,0.0598451009846796,0.30334003808112875,0.17396074761565947,0.40828606402560563,0.0,0.0
2019-06-28,0.053563545003676466,0.05904628530968294,0.30350000786292836,0.16451578589338464,0.41937437593032756,0.0,0.0
2019-07-31,0.053304824651035684,0.058796891134524853,0.3132513385033895,0.1522190309249575,0.4224279147860924,0.0,0.0
2019-08-30,0.05329336890774819,0.05881786531264542,0.32303257842253913,0.13655233412419918,0.4283038532328679,0.0,2.220446049250313e-16
2019-09-30,0.05308275420473867,0.05827953177745353,0.33479341831941484,0.12266850379170391,0.43117579190668887,0.0,2.220446049250313e-16
2019-10-31,0.05442678869724836,0.059199334568873156,0.34289190106125106,0.11281076221865602,0.43067121345397125,0.0,2.220446049250313e-16
2019-11-29,0.056487208911075185,0.0595083938045193,0.35299041762808303,0.10456800802175067,0.42644597163457165,0.0,1.1102230246251565e-16
2019-12-31,0.058361837496290855,0.05984138677859639,0.3605879289341956,0.09686249993978838,0.4243463468511286,0.0,2.220446049250313e-16
2020-01-23,0.05884786758157576,0.06115617264591689,0.3641717560492809,0.09054832835951088,0.42527587536371536,0.0,2.220446049250313e-16
2020-02-28,0.0608543668089601,0.06046769744286695,0.3670047005949288,0.08485813178578737,0.42681510336745665,0.0,1.1102230246251565e-16
2020-03-31,0.06260027338093391,0.05790209491483375,0.36612649186921403,0.0770189598963965,0.43635217993862174,0.0,1.1102230246251565e-16
2020-04-30,0.06451012651722315,0.055597424488652084,0.3728158204318722,0.0714444334246109,0.43563219513764156,0.0,0.0
2020-05-29,0.06883677900681144,0.05488388288695369,0.38020057592826606,0.0685984903077099,0.4274802718702587,0.0,1.1102230246251565e-16
2020-06-30,0.07215325274212793,0.05524236252565737,0.3853482251979827,0.06739122778851504,0.41986493174571676,0.0,2.220446049250313e-16
2020-07-31,0.07484935684526153,0.05626719311492699,0.385973581788779,0.0679800300996373,0.41492983815139495,0.0,2.220446049250313e-16
2020-08-31,0.07563084003120336,0.05763482837326765,0.38620610179012893,0.06727312808086788,0.41325510172453195,0.0,3.3306690738754696e-16
2020-09-30,0.07642365969403023,0.05695956991067791,0.38136381410279807,0.06730565497827587,0.4179473013142177,0.0,2.220446049250313e-16
2020-10-30,0.07674557739441111,0.05614771635446557,0.3786272455709728,0.0674044830631992,0.4210749776169511,0.0,1.1102230246251565e-16
